Const | 2 | [1]
ID | main | [3]
Const | 4 | [5]
Const | 5 | [7]
ID | g | [7]
Const | 8 | [13]
Const | 9 | [15]
KeyWords | break | [15]
Separator | : | [17]
Separator | ; | [19]
Operator | = | [23]
ID | A | [31]
KeyWords | switch | [37]
ID | w | [39]
KeyWords | return | [45]
ID | z | [45]
Separator | { | [47]
Separator | } | [51]
KeyWords | int | [63]
Separator | ( | [81]
Separator | ) | [83]
KeyWords | case | [85]
Operator | + | [87]
Separator | , | [89]
Operator | - | [91]
ID | a | [95]
Const | 0 | [97]
ID | b | [97]
Const | 1 | [99]
ID | c | [99]
